Question,Answer
INFORMATION REGARDING CONTROL OF FRUIT BORER?,SPRAY CORAGEN @ 60 ML IN 150 LITERS OF WATER/ACRE.
information regarding to suitable varieties of pegion pea,"A.l-201,A.l.-15,P.a.u.-881-varieties of pigeon pea"
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,"FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP,PLS SPRAY 250ML DELTAMETHRIN IN 150LITRE WATER/ACRE."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to fertilizer application after transplanting rice,"110 kg urea,27 kg dap or75 kg ssp,20 kg potash /acre in rice"
information regarding to suitable varieties of rice,"P.r.-121-P.r.-122, P.r.-118, P.r.-116,P.r.-114,P.r.-111,P.r.-115- varieties of rice"
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
INFORMATION REGARDING TO NERSARY SOWING?,6 MARLE /8KG SEED
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,: LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,: LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
information regarding to seed rate of rice for nursery raising,8 kg seed for 6.5 marla for one acre seedling in rice
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,"FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP, PLS APPLY REGENT-10KG OR 8KG CARTAP HYDROCHLORIDE OR SPRAY-500ML MONO.+100ML NUVAN IN 150LITE WATER."
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
Information regarding the mid season variety of couliflower.?,Punjab Giant 26
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to seed rate of rice for direct seeded rice,8-10 kg seed /acre in rice
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
control of droping flower?,spray of palanofix 1ml in 4.50 lit water
INFORMATION REGARDING NEW VARIETIES OF BASMATI RICE?,"NEW VARIETIES OF BASMATI RICE PUSA PUNJAB BASMATI 3,PUSA PUNJAB BASMATI 1509."
INFORMATION REGARDING FOR THE CONTROL OF TOBBACO CATTERPILLER ATTACK AT DHAINCHA(JANTAR) CROP?,"FOR THE CONTROL OF TOBBACO CATTERPILLER ATTACK AT DHAINCHA(JANTAR) CROP,PLS SPRAY 250 ML NOVALURAN MIXED WITH 120 LITRE WATER /ACRE."
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 5GM EMISAAN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10 HOURS BEFORE SOWING.
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 5GM EMISAAN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10 HOURS BEFORE SOWING.
&#2616;&#2613;&#2622;&#2610;-&#2589;&#2635;&#2600;&#2631; &#2598;&#2624; &#2569;&#2600;&#2596; &#2581;&#2623;&#2616;&#2606;&#2622;&#2562; &#2604;&#2622;&#2608;&#2631; &#2588;&#2622;&#2595;&#2581;&#2622;&#2608;&#2624; ?,"&#2588;&#2613;&#2622;&#2604;-&#2589;&#2635;&#2600;&#2631; &#2598;&#2624; &#2600;&#2613;&#2624;&#2566;&#2562; &#2565;&#2596;&#2631; &#2569;&#2600;&#2596; &#2581;&#2623;&#2616;&#2606;&#2622;&#2562; &#2604;&#2622;&#2608;&#2631; -&#2602;&#2624; &#2566;&#2608;-121,&#2602;&#2624; &#2566;&#2608;-122,&#2602;&#2624; &#2566;&#2608; -118,&#2602;&#2624; &#2566;&#2608; -116,&#2602;&#2624; &#2566;&#2608; -114,&#2602;&#2624; &#2566;&#2608; -111,&#2602;&#2624; &#2566;&#2608; -115,&#2602;&#2624; &#2566;&#2608; -113,&#2602;&#2625;&#2616;&#2622; &#2602;&#2672;&#2588;&#2622;&#2604; &#2604;&#2622;&#2616;&#2606;&#2596;&#2624;-1509,&#2602;&#2625;&#2616;&#2622;-44,&#2576;&#2586;.&#2581;&#2631;.&#2566;&#2608;.-47 &#2404;"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to control of maize borer in maize,spray of cypermathrine 10 e.c. 40 m.l.+80-100 ltr water /acre in maize
information regarding to suitable varieties of rice,"P.r.-121-P.r.-122, P.r.-118, P.r.-116,P.r.-114,P.r.-111,P.r.-115- varieties of rice"
IF THERE ARE ANY CHANCES OF RAINFALL IN UPCOMING DAYS. .?,: THERE ARE NO CHANCES OF RAIN IN UPCOMING DAYS.
information regarding to seed rate fodder maize,25-30 kg seed /acre for fodder maize
information regarding to seed treatment in rice,soak the selected seed in 10 ltr water containing 5gm emisan6(methoxyethyl mercurychloride) &1gm streptocycline(streptocycline+tetracycline)
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-134Bt,RCH-317Bt,RCH-308Bt,MRC-6301,MRC-6304 & MRC-7031 BOLLGAURD-II(RUBI),ANKUR-651,ANKUR-09,ANKUR-2534."
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,NO CHANCE OF RAINFALL TODAY
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
information regarding to suitable varieties of summer mungbean,"s.m.l.-668, s.m.l.-832 - varieties of summer mungbean"
INFORMATION REGARDING NEW VARIETIES OF RICE?,"THE NEW VARIETIES OF RICE PR 121,PR 122."
information regarding to seed rate of kharif maize,8 kg seed /acre for kharif maize
problem of sedges weeds in sugarcane?,spray 2-4d 58% 400ml in 225 liters water/acre for the control of weeds in sugarcane.
information regarding sowing time of bhindi?,sowing time of bhindi june-july.
INFORMATION REGARDING FOR THE SOWING TIME OF SQUASH MELON(TINDA)?,"THERE IS THE THREE SEASON OF SQUASH MELON(TINDA) SOWING-1.FEB.-MARCH,2.JUNE-JULY."
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 5GM EMISAAN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10 HOURS BEFORE SOWING.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING TO CONTROLL OF BORER IN FODDER CROP?,Cypermethrin 25 EC
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,"Mostly dry. Warm (max 37Â°C on Tue afternoon, min 26Â°C on Sun night). Wind will be generally light."
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 5GM EMISAAN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10 HOURS BEFORE SOWING.
information regarding to control of jassid in cucumber,spray of malathion 50 e.c. 250 m.l.+100 ltr water /acre in cucumber
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE IS-NORMAL VARIETIES-6-8 KG & HYBRID VARIETIES-3-4 KG.
SOWING TIME OF NURSERY IN PADDY?,SOWING TIME OF NURSERY IN PADDY:-1 MAY TO 30 MAY.
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 5GM EMISAAN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10 HOURS BEFORE SOWING.
INFORMATION REGARDING FOR THE SOWING TIME OF BLACK GRAM(MAH)?,THE SOWING TIME OF BLACK GRAM(MAH)-UPTO 15 TO 25 JULY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
what is the date of transplanting of rice?,the date of transplanting of rice is from 10 june.
WHAT ARE THE NEW VARIETIES OF RICE?,THE NEW VARIETIES OF RICE ARE PR 121 AND PR 122.
INFORMATION REGARDING FOR THE SEED TREATMENT OF PADDY(JHONA)?,SOAK THE SELECTED SEED IN 10 LITRE OF WATER CONTIANING 5GM EMISAAN & 1 GRAM STREPTOCYCLINE FOR 8 TO 10 HOURS BEFORE SOWING.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,"SUITABLE VARIETIES OF SUGARCANE -EARLY-COJ-85,COJ-83,COJ-64, MEDIUM-COH-119,COJ-88,COJ-238,COJ-239,COH-8436,LATE-COJ-89."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
seed rate of cotton?,"&#2616;&#2613;&#2622;&#2610;-&#2600;&#2608;&#2606;&#2631; &#2598;&#2624; &#2602;&#2637;&#2608;&#2596;&#2623; &#2575;&#2581;&#2652; &#2604;&#2624;&#2588; &#2598;&#2623; &#2606;&#2622;&#2596;&#2608;&#2622; &#2604;&#2622;&#2608;&#2631; &#2588;&#2622;&#2600;&#2581;&#2622;&#2608;&#2624; ? &#2588;&#2613;&#2622;&#2604;-&#2600;&#2608;&#2606;&#2631; &#2598;&#2623; &#2602;&#2637;&#2608;&#2596;&#2624; &#2575;&#2581;&#2652; &#2604;&#2624;&#2588; &#2598;&#2623; &#2606;&#2622;&#2596;&#2608;&#2622; -&#2604;&#2623;&#2591;&#2623; &#2600;&#2608;&#2606;&#2622;-0.750 &#2581;&#2623;&#2610;&#2635;, &#2616;&#2599;&#2622;&#2608;&#2595; &#2581;&#2623;&#2616;&#2606;&#2622;&#2562;-3.0-3.5 &#2581;&#2623;&#2610;&#2635; &#2565;&#2596;&#2631; &#2604;&#2623;&#2600;&#2622; &#2604;&#2623;&#2591;&#2623; &#2598;&#2635;&#2583;&#2610;&#2568;&#2566;&#2562; &#2581;&#2623;&#2616;&#2606;&#2622;&#2562;- 1.5 &#2581;&#2623;&#2610;&#2635; &#2602;&#2637;&#2608;&#2596;&#2624; &#2575;&#2581;&#2652; &#2404;"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-134Bt,RCH-317Bt,RCH-308Bt,MRC-6301,MRC-6304 & MRC-7031 BOLLGAURD-II(RUBI),ANKUR-651,ANKUR-09,ANKUR-2534."
INFORAMTION REGARDING FOR THE SEED RATE OF GREEN GRAM(MOONGI) PER ACRE?,THE SEED RATE OF GREEN GRAM(MOONGI) PER ACRE-8KG.
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -SOWING OF PADDY 1 MAY &NORMAL-10 JUNE .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,"SUITABLE VARIETIES OF SUGARCANE -EARLY-COJ-85,COJ-83,COJ-64, MEDIUM-COH-119,COJ-88,COJ-238,COJ-239,COH-8436,LATE-COJ-89."
information regarding fertilizer dose in sugarcane ?,"urea-135kg,ssp-125kg,mop-40 kg/acre"
information regarding to seed treatment in rice,soak the selected seed in 10 ltr water containing 5gm emisan6(methoxyethyl mercurychloride) &1gm streptocycline(streptocycline+tetracycline)
information regarding to seed rate of rice for nursery raising,8 kg seed for 6.5 marla for one acre seedling in rice
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
information regarding to suitable varieties of rice,"P.r.-121-P.r.-122, P.r.-118, P.r.-116,P.r.-114,P.r.-111,P.r.-115- varieties of rice"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-134Bt,RCH-317Bt,RCH-308Bt,MRC-6301,MRC-6304 & MRC-7031 BOLLGAURD-II(RUBI),ANKUR-651,ANKUR-09,ANKUR-2534."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-134Bt,RCH-317Bt,RCH-308Bt,MRC-6301,MRC-6304 & MRC-7031 BOLLGAURD-II(RUBI),ANKUR-651,ANKUR-09,ANKUR-2534."
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"VARIETIES OF RICE: PR-121 AND PR-122, PR-118,PR-116,PR-114,PR-111,PR-115."
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"VARIETIES OF RICE: PR-121 AND PR-122, PR-118,PR-116,PR-114,PR-111,PR-115."
INFORMATION REGARDING VARIETIES OF RICE CROP ?,"VARIETIES OF RICE: PR-121 AND PR-122, PR-118,PR-116,PR-114,PR-111,PR-115."
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,"THE SUITABLE VARIETIES OF COTTON(NARMA) IS -RCH-134Bt,RCH-317Bt,RCH-308Bt,MRC-6301,MRC-6304 & MRC-7031 BOLLGAURD-II(RUBI),ANKUR-651,ANKUR-09,ANKUR-2534."
information regarding to weed control in nursery of rice,butachlore 1200 m.l.+60 kg soil /acre 1 week after broadcasting seeds
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,LATEST VARIETIES OF RICE CROP PR-121 AND PR-122.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,"SUITABLE VARIETIES OF SUGARCANE -EARLY-COJ-85,COJ-83,COJ-64, MEDIUM-COH-119,COJ-88,COJ-238,COJ-239,COH-8436,LATE-COJ-89."
row to row distance in arum,45 *20 cm distance between rows
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE CROP?,"FOR THE CONTROL OF WEEDS IN SUGARCANE CROP-PLS SPRAY-800GM ATRAZIN 70WP+100GM SENCOR+400ML 2,4-D 58%."
INFORMATION REGARDING FOR WEATHER,CHANCES OF RAIN ON TOMARROW IN AMRITSAR.
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 250ML PROPICONAZOLE/ACRE IN 200LITRE WATER."
INFORMATION REGARDING FOR WEATHER,TOMARROW SOME CHANCES OF SHOWER IN AMRITSAR.
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCES OF RAINFALL TOMORROW
INFORMATION REGARDING FOR THE CONTROL OF CATERPILAR IN TOMATO ?,SPRAY RIPCORD (10 EC) @ 200 ML IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING FOR WEATHER,CHANCES OF RAIN TOMATRROW IN AMRITSAR.
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
information regarding weather ?,chances of rainfall tomorrow
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND NO CHANCES OF RAINFALL .
INFORMATION REGARDING FOR WEATHER,CHANCES OF RAIN TOMARROW IN AMRITSAR.
INFORMATION REGARDING fruit droping?,spray 1ml planofix in 4 ltr water.
information regarding about wether of amritsar?,"Cloudy, a t-storm in the p.m 2 aprail"
information regarding about wether of amritsar?,"Cloudy, a t-storm in the p.m. 2 apreil"
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND NO CHANCES OF RAINFALL .
INFORMATION REGARDING FOR THE WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL IN TODAYS .
INFORMATION REGARDING FOR THE WEATHER ?,THERE ARE SOME CHANCES OF RAINFALL IN TODAYS .
INFORMATION REGARDING WEATHER FORECAST,TODAY THERE ARE CHANCES OF RAIN
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY AND SOME CHANCE OF RAINFALL .
Information regarding weather of Amritsar?,Cloudy with a shower or thunderstorm around this afternoon
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN MAIZE?,spray 2-4D 400ml in 200 ltr water.
INFORMATION REGARDING TO WEATHER?,some chance of rainfall today .
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCES OF RAINFALL TODAY
INFORMATION REGARDING TO WEATHER?,"INFORMATION REGARDING TO WEATHER?
 
 SOME CHANCES OF RAIN IN NEXT 24 HOURS
 
 some chance of rainfall today ."
fruit drop control in citrus,pls spray planofix 1ml in 4 litres of water for flower drop and for leaf curl pls spray rogar 500ml in 500ltrs of water /acre
HOW TO CONTROL FLOWER DROPING IN CITRUS PLANT ?,SPRAY TO PLANOFIX @ 4.5 LITER OF WATER / ACRE .
Information regarding weather of Amritsar?,"Mostly cloudy, chances of light rainfall."
INFORMATION REGARDING TO WEATHER?,some chance of rainfall today .
flower drop in citrus and leaf curl disease in citrus,for flower drop pls spray planofix 1ml in 4 ltrs of water and for leaf curl pls spray rogar 500ml in 400ltrs of water/acre
INFORMATION REGARDING CONTROL OF YELLOW RUST IN WHEAT?,"SPRAY TILT ,(propiconazol) @ 200 ML IN 200 LITERS OF WATER/ACRE."
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND THERE ARE SOME CHANCES OF RAIN .
information regarding weather ?,some clouds and some chances of rainfall.
INFORMATION REGARDING WEATHER?,WEATHER IS CLOUDY AND THERE ARE SOME CHANCES OF RAIN .
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT CHANCE OF LIGHT RAIN FALL.
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT CHANCE OF LIGHT RAIN FALL.
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"A thunderstorm around this evening; otherwise, hazy"
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT CHANCE OF LIGHT RAIN FALL.
information regarding weather ?,some clouds and some chances of rainfall.
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT CHANCE OF LIGHT RAIN FALL.
INFORMATION REGARDING IMPROVED VARIETIES OF SUMMER MOONG ?,"IMPROVED VARIETIES OF SUMMER MOONG IS SML-668,SML-832 .PAU911."
Information regarding how to control Caterpilars in Barseem?,Spray 200 ml. Indoxacarb (Avaunt) in 100 lt. of water per acre.
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT CHANCE OF LIGHT RAIN FALL.
information regarding control of aphid in chilies?,spray 80ml confidor in 100 litre of water/acre
information regarding control of aphid in wheat crop?,spray 80ml confidor in 100 litre of water/acre
information regarding leaf curl in grape?,spray bavestein 3gm/litre of water/plant
information regarding about wether of amritsar?,today no chance of rainfall
information regarding weather of amritsar?,chances of showers on 7 april
information regarding weather of amritsar?,chances of showers on 7 april
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,"FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP,PLS SPRAY 300ML MONOCROTOPHOSE+100ML NUVAN IN 200 LITRE WATER."
INFORMATION REGARDING CHANCE OF RAINFALL ?,NO CHANCE OF RAINFALL .
information regarding about new variety of paddy ?,"new varieties of paddy is PR123 , yield 29.5 quintls/acer"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING DOSE OF UREA IN TOMATO?,DOSE OF UREA IN TOMATO 55 KG/ACRE.
weather of Amritsar ?,weather of Amritsar ?no chance rainfall in today.
information regarding control fungal diseases in tomato ?,spray 400gm M-45 in 200 Ltr of water /acre .
information regarding weather ?,some clouds and some chances of rainfall on 6April .
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SORGHUM(JWAR)?,"THE SUITABLE VARIETIES OF SORGHUM(JWAR)-TWO CUT-SL-44,MULTI CUT-PUNJAB SUDAX CHARI-1,HYBRID PCH-106,HYBRID PCH-109,HYBRID CHARI-615."
Information regarding varieties of Guara?,"HG-365, Ageta Guara-112, Guara-80."
INFORMATION REGARDING IMPROVED VARIETIES OF MAIZE ?,"IMPROVED VARIETIES OF MAIZE : PMH-1 , PMH-2, PMH-7 ."
Regarding varieties of paddy?,"varieties are-PR-121, 122, 123, PR-111, PR-114."
information regarding weather ?,some clouds and some chances of rainfall on 6 April.
Information regarding how to control fungal disease in Grape?,Spray 1 gm. Carbendazim in per lt. of water.
HOW TO CONTROL FLOWER DROPING IN CITRUS CROP ?,SPRAY TO PLANOFIX @ 1ML IN 4.5 LITER OF WATER / ACRE .
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING late blight in tomato?,spray 600g m-45 in 200 ltr water.
CONTACT NO. FOR DAIRY FARMING ?,1.61E+09
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF moong?,8kg/acre.
HOW TO CONTROL DEFOLIATING BEETLES IN GRAPE ?,SPRAY TO CARBARYL @ 1GM IN 2 LITER OF WATER / SOLUTION .
VARIETY OF PADDY ?,"PR 121, PR 122, PR 123"
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP?,"FOR THE CONTROL OF SHOOT BORER IN MAIZE CROP,PLS SPRAY-CYPERMETHRIN-250ML OR CYPERMETHRIN-250ML OR CARTAP HYDROCHLORIDE(POWDER)-250GM IN 160LITRE WATER/ACRE."
INFORMATION REGARDING WEATHER CONDITION ?,TODAY IS NO CHANCE OF RAIN.
INFORMATION REGARDING TO WEATHER ?,TODAY THERE ARE NO CHANCES OF RAIN TODAY .
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 250ML PROPICONAZOLE OR 200 ML TEBUCONAZOLE+200ML AZOXYSTROBIN(AMISTAR-SYNGENTA)/ACRE IN 200LITRE WATER."
INFORMATION REGARDING WEATHER FORECAST?,NO CHANCE TO RAINFALL NEXT 3 DAYS
Information regarding varieties of Paddy?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122, PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN BERSEEM ?,SPRAY RIDOMIL @ 500 GM IN 200 LITRE WATER/ACRE.
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY NO CHANCE OF RAINFALL .
